questionId,imageName,questionText,category,correctAnswer
52,q00052.jpeg,問52 視床はどれか。,神経系 - 脳,4
53,q00053.jpeg,問53 橋はどれか。,神経系 - 脳,3
54,q00054.jpeg,問54 第三脳室はどれか。,神経系 - 脳,3
55,q00055.jpeg,問55 くも膜下腔はどれか。,神経系 - 脳,3
56,q00056.jpeg,問56 内頚動脈はどれか。,循環器系,2
57,q00057.jpeg,問57 前角はどれか。,神経系 - 脊髄,3
58,q00058.jpeg,問58 前根はどれか。,神経系 - 脊髄,4
59,q00059.jpeg,問59 尺骨神経はどれか。,神経系 - 末梢神経,5
60,q00060.jpeg,問60 外側大腿皮神経はどれか。,神経系 - 末梢神経,1
61,q00061.jpeg,問61 動眼神経はどれか。,神経系 - 脳神経,3
62,q00062.jpeg,問62 副神経はどれか。,神経系 - 脳神経,5
63,q00063.jpeg,問63 網膜はどれか。,感覚器系,4
64,q00064.jpeg,問64 上斜筋はどれか。,感覚器系,1
65,q00065.jpeg,問65 中耳はどれか。,感覚器系,3
66,q00066.jpeg,問66 アブミ骨はどれか。,感覚器系,3
67,q00067.jpeg,問67 前庭階はどれか。,感覚器系,1
68,q00068.jpeg,問68 広頸筋はどれか。,筋系 - 頭頸部,5
69,q00069.jpeg,問69 肩甲舌骨筋はどれか。,筋系 - 頭頸部,2
70,q00070.jpeg,問70 胸鎖乳突筋はどれか。,筋系 - 頭頸部,5
71,q00071.jpeg,問71 咬筋はどれか。,筋系 - 頭頸部,4
72,q00072.jpeg,問72 最長筋はどれか。,筋系 - 体幹,2
73,q00073.jpeg,問73 前鋸筋はどれか。,筋系 - 体幹,4
74,q00074.jpeg,問74 僧帽筋はどれか。,筋系 - 体幹,1
75,q00075.jpeg,問75 広背筋はどれか。,筋系 - 体幹,2
76,q00076.jpeg,問76 烏口腕筋はどれか。,筋系 - 上肢,2
77,q00077.jpeg,問77 三角筋はどれか。,筋系 - 上肢,1
78,q00078.jpeg,問78 大胸筋はどれか。,筋系 - 上肢,4
79,q00079.jpeg,問79 肩甲下筋はどれか。,筋系 - 上肢,4
80,q00080.jpeg,問80 上腕二頭筋はどれか。,筋系 - 上肢,1
81,q00081.jpeg,問81 上腕筋はどれか。,筋系 - 上肢,2
82,q00082.jpeg,問82 円回内筋はどれか。,筋系 - 上肢,1
83,q00083.jpeg,問83 撓側手根屈筋はどれか。,筋系 - 上肢,4
84,q00084.jpeg,問84 肘筋はどれか。,筋系 - 上肢,1
85,q00085.jpeg,問85 示指伸筋はどれか。,筋系 - 上肢,4
86,q00086.jpeg,問86 第3腓骨筋はどれか。,筋系 - 下肢,3
87,q00087.jpeg,問87 梨状筋はどれか。,筋系 - 下肢,1
88,q00088.jpeg,問88 内閉鎖筋はどれか。,筋系 - 下肢,3
89,q00089.jpeg,問89 縫工筋はどれか。,筋系 - 下肢,1
90,q00090.jpeg,問90 恥骨筋はどれか。,筋系 - 下肢,3
91,q00091.jpeg,問91 腸腰筋はどれか。,筋系 - 下肢,5
92,q00092.jpeg,問92 長内転筋はどれか。,筋系 - 下肢,3
93,q00093.jpeg,問93 薄筋はどれか。,筋系 - 下肢,5
94,q00094.jpeg,問94 前脛骨筋はどれか。,筋系 - 下肢,5
95,q00095.jpeg,問95 半腱様筋はどれか。,筋系 - 下肢,5
96,q00096.jpeg,問96 大腿二頭筋はどれか。,筋系 - 下肢,4
97,q00097.jpeg,問97 長指伸筋はどれか。,筋系 - 下肢,4
98,q00098.jpeg,問98 長母指屈筋はどれか。,筋系 - 下肢,4
99,q00099.jpeg,問99 短小指屈筋はどれか。,筋系 - 下肢,1
100,q00100.jpeg,問100 前脛骨筋はどれか。,筋系 - 下肢,3
